district,state,elevation_m,slope_deg,rainfall_mm,soil_saturation_pct,historical_hazards_count,is_bypass,disruption_risk
HAFLONG,ASSAM,271,14,80.2,22.5,15,1,0
SILCHAR,ASSAM,20,3,192.1,50.6,12,1,0
AGARTALA,TRIPURA,22,4,271.7,72.3,7,0,1
NONEY,MANIPUR,378,18,179.7,53.6,31,1,1
NONEY,MANIPUR,600,36,159.2,41.8,70,0,2
GUWAHATI,ASSAM,27,3,170.9,41.1,4,1,0
TAWANG,ARUNACHAL PRADESH,2673,47,410.7,100.0,101,0,2
AIZAWL,MIZORAM,1097,37,220.4,67.6,98,0,2
AGARTALA,TRIPURA,49,4,125.4,40.0,14,0,0
HAFLONG,ASSAM,527,36,160.5,40.8,66,0,2
KOHIMA,NAGALAND,974,16,89.0,17.9,21,1,0
IMPHAL,MANIPUR,820,15,115.9,31.4,36,0,1
KOHIMA,NAGALAND,765,14,121.3,33.1,29,1,0
SHILLONG,MEGHALAYA,1505,34,361.0,100.0,74,0,2
SILCHAR,ASSAM,36,4,321.8,96.9,40,0,2
GANGTOK,SIKKIM,1648,42,90.6,23.6,110,0,2
AGARTALA,TRIPURA,-13,6,353.3,92.4,5,0,2
GUWAHATI,ASSAM,43,4,360.0,98.0,8,0,2
HAFLONG,ASSAM,373,10,75.6,23.3,28,1,0
JOWAI,MEGHALAYA,1382,32,400.4,100.0,79,0,2
MANGAN,SIKKIM,748,19,103.7,35.3,34,1,0
AIZAWL,MIZORAM,692,14,151.1,44.3,29,1,0
ITANAGAR,ARUNACHAL PRADESH,230,16,108.9,29.0,22,1,0
TAWANG,ARUNACHAL PRADESH,2700,48,86.6,22.2,125,0,2
DIMAPUR,NAGALAND,92,3,130.4,34.4,9,1,0
NONGPOH,MEGHALAYA,485,23,90.0,30.0,27,0,1
AIZAWL,MIZORAM,1152,42,340.7,100.0,93,0,2
NONGPOH,MEGHALAYA,476,24,170.6,52.4,27,0,2
SILCHAR,ASSAM,68,6,398.0,100.0,49,0,2
NONGPOH,MEGHALAYA,475,23,354.1,100.0,30,0,2
GUWAHATI,ASSAM,40,3,73.9,28.3,3,1,0
ITANAGAR,ARUNACHAL PRADESH,174,13,148.3,33.5,22,1,0
ITANAGAR,ARUNACHAL PRADESH,322,43,354.2,95.8,101,0,2
NONGPOH,MEGHALAYA,249,6,65.5,12.0,10,1,0
TAWANG,ARUNACHAL PRADESH,1968,18,111.2,24.5,42,1,1
LUNGLEI,MIZORAM,385,13,182.5,58.1,30,1,0
KOHIMA,NAGALAND,1475,39,201.3,58.6,97,0,2
NONGPOH,MEGHALAYA,279,8,171.2,54.7,6,1,0
GANGTOK,SIKKIM,1633,47,393.2,100.0,115,0,2
NONEY,MANIPUR,663,32,333.4,88.4,80,0,2
KOHIMA,NAGALAND,1415,40,328.0,88.5,92,0,2
GUWAHATI,ASSAM,30,3,181.7,54.0,3,1,0
SILCHAR,ASSAM,21,3,114.5,37.9,11,1,0
DIMAPUR,NAGALAND,76,3,157.2,46.7,9,1,0
NONGPOH,MEGHALAYA,251,9,97.4,34.3,7,1,0
HAFLONG,ASSAM,277,12,138.5,44.8,24,1,0
HAFLONG,ASSAM,332,14,45.6,19.7,21,1,0
NONGPOH,MEGHALAYA,261,6,74.2,23.8,7,1,0
AIZAWL,MIZORAM,650,14,138.9,38.4,25,1,0
SILCHAR,ASSAM,20,3,152.5,42.0,17,1,0
SHILLONG,MEGHALAYA,1511,26,179.2,43.1,85,0,2
SHILLONG,MEGHALAYA,1061,12,87.7,26.6,28,1,0
GANGTOK,SIKKIM,1657,44,143.4,32.5,116,0,2
AGARTALA,TRIPURA,20,3,67.2,21.8,2,1,0
SHILLONG,MEGHALAYA,1529,32,410.0,100.0,78,0,2
SILCHAR,ASSAM,24,3,196.0,54.0,14,1,0
NONEY,MANIPUR,367,14,46.3,14.0,29,1,0
TAWANG,ARUNACHAL PRADESH,2635,47,402.7,100.0,105,0,2
IMPHAL,MANIPUR,762,14,106.6,32.5,45,0,1
IMPHAL,MANIPUR,822,18,389.7,100.0,42,0,2
HAFLONG,ASSAM,521,34,267.7,80.1,74,0,2
TAWANG,ARUNACHAL PRADESH,1939,15,145.8,45.0,37,1,1
SHILLONG,MEGHALAYA,819,12,213.7,53.0,23,1,1
SHILLONG,MEGHALAYA,1521,32,378.5,100.0,76,0,2
ITANAGAR,ARUNACHAL PRADESH,162,15,149.6,44.7,24,1,0
SILCHAR,ASSAM,25,3,174.2,55.1,11,1,0
DIMAPUR,NAGALAND,148,8,175.3,48.6,24,0,1
SHILLONG,MEGHALAYA,1502,28,230.7,69.3,88,0,2
AIZAWL,MIZORAM,737,13,204.4,55.3,26,1,1
ITANAGAR,ARUNACHAL PRADESH,225,17,96.0,26.8,24,1,0
JOWAI,MEGHALAYA,1362,34,364.6,97.3,84,0,2
AGARTALA,TRIPURA,21,4,205.2,56.4,6,0,1
GANGTOK,SIKKIM,1613,41,246.2,67.5,116,0,2
ITANAGAR,ARUNACHAL PRADESH,187,19,189.6,46.1,26,1,1
GUWAHATI,ASSAM,28,3,78.6,17.4,4,1,0
NONEY,MANIPUR,634,40,254.5,76.5,83,0,2
GUWAHATI,ASSAM,40,3,41.5,10.0,3,1,0
LUNGLEI,MIZORAM,437,15,85.4,23.2,21,1,0
TAWANG,ARUNACHAL PRADESH,1718,15,214.0,64.9,43,1,1
LUNGLEI,MIZORAM,484,16,89.8,22.1,20,1,0
AIZAWL,MIZORAM,751,20,73.9,20.8,30,1,0
NONEY,MANIPUR,676,36,188.7,46.7,91,0,2
GUWAHATI,ASSAM,41,3,109.9,23.1,3,1,0
IMPHAL,MANIPUR,535,7,181.3,56.9,12,1,0
DIMAPUR,NAGALAND,103,4,72.6,13.7,9,1,0
JOWAI,MEGHALAYA,940,16,210.4,64.8,33,1,1
HAFLONG,ASSAM,517,29,376.3,100.0,85,0,2
KOHIMA,NAGALAND,816,13,124.7,40.5,30,1,0
HAFLONG,ASSAM,369,13,108.7,27.0,26,1,0
SILCHAR,ASSAM,12,4,219.1,62.0,48,0,1
AGARTALA,TRIPURA,15,4,107.5,27.2,22,0,0
NONGPOH,MEGHALAYA,319,6,177.0,43.9,7,1,0
NONGPOH,MEGHALAYA,337,9,118.1,31.7,6,1,0
MANGAN,SIKKIM,714,16,107.2,22.0,28,1,0
KOHIMA,NAGALAND,1406,40,293.1,77.4,72,0,2
DIMAPUR,NAGALAND,77,3,70.1,24.7,7,1,0
LUNGLEI,MIZORAM,443,16,118.1,35.8,23,1,0
JOWAI,MEGHALAYA,1033,15,69.7,25.9,30,1,0
GANGTOK,SIKKIM,1639,41,414.9,100.0,128,0,2
GUWAHATI,ASSAM,30,6,301.2,76.3,24,0,2
AIZAWL,MIZORAM,1168,34,116.8,37.8,103,0,2
SILCHAR,ASSAM,48,7,122.0,29.9,50,0,1
JOWAI,MEGHALAYA,1420,31,223.1,55.6,87,0,2
TAWANG,ARUNACHAL PRADESH,1744,21,201.8,56.2,31,1,1
SHILLONG,MEGHALAYA,805,10,76.0,17.3,17,1,0
TAWANG,ARUNACHAL PRADESH,2665,46,134.5,38.1,109,0,2
IMPHAL,MANIPUR,457,6,203.2,61.8,14,1,0
ITANAGAR,ARUNACHAL PRADESH,291,42,326.0,84.2,97,0,2
AIZAWL,MIZORAM,1150,38,237.9,59.7,90,0,2
NONGPOH,MEGHALAYA,482,19,310.1,85.0,45,0,2
SHILLONG,MEGHALAYA,1490,24,305.5,79.6,69,0,2
DIMAPUR,NAGALAND,107,3,107.1,27.2,8,1,0
SHILLONG,MEGHALAYA,915,12,164.2,45.3,27,1,0
MANGAN,SIKKIM,1174,43,327.0,98.5,132,0,2
NONGPOH,MEGHALAYA,498,23,352.8,100.0,35,0,2
NONGPOH,MEGHALAYA,336,8,198.4,58.7,11,1,0
JOWAI,MEGHALAYA,1007,13,48.3,10.0,24,1,0
KOHIMA,NAGALAND,1471,39,272.1,83.2,95,0,2
KOHIMA,NAGALAND,1459,40,164.5,43.2,95,0,2
GANGTOK,SIKKIM,1681,47,84.0,30.3,106,0,2
TAWANG,ARUNACHAL PRADESH,1896,23,128.5,31.5,23,1,1
AIZAWL,MIZORAM,1156,37,298.7,81.4,99,0,2
NONEY,MANIPUR,658,37,274.8,69.7,95,0,2
ITANAGAR,ARUNACHAL PRADESH,185,20,43.2,10.5,36,1,0
SILCHAR,ASSAM,6,9,296.8,88.7,57,0,2
IMPHAL,MANIPUR,579,7,80.1,21.5,8,1,0
ITANAGAR,ARUNACHAL PRADESH,217,14,79.9,19.7,36,1,0
LUNGLEI,MIZORAM,487,12,65.3,21.6,18,1,0
MANGAN,SIKKIM,1192,50,143.8,46.8,116,0,2
GANGTOK,SIKKIM,1668,41,194.9,58.3,127,0,2
SILCHAR,ASSAM,52,7,280.4,78.0,59,0,2
ITANAGAR,ARUNACHAL PRADESH,347,34,398.0,100.0,112,0,2
ITANAGAR,ARUNACHAL PRADESH,354,36,357.2,92.9,118,0,2
KOHIMA,NAGALAND,873,16,84.7,21.9,27,1,0
KOHIMA,NAGALAND,885,12,166.0,50.1,23,1,0
LUNGLEI,MIZORAM,489,19,76.2,23.2,25,1,0
LUNGLEI,MIZORAM,527,13,215.5,54.7,26,1,1
KOHIMA,NAGALAND,1449,38,278.2,84.4,87,0,2
MANGAN,SIKKIM,863,19,59.2,14.5,24,1,0
SILCHAR,ASSAM,20,4,347.1,100.0,62,0,2
AIZAWL,MIZORAM,1099,38,336.2,85.9,88,0,2
AGARTALA,TRIPURA,53,9,271.0,70.9,21,0,1
GANGTOK,SIKKIM,1675,42,305.9,91.8,127,0,2
GANGTOK,SIKKIM,1219,22,139.4,30.9,30,1,1
AIZAWL,MIZORAM,1171,41,389.9,100.0,89,0,2
DIMAPUR,NAGALAND,129,8,140.3,41.9,29,0,1
NONGPOH,MEGHALAYA,510,15,93.8,22.5,32,0,1
AIZAWL,MIZORAM,1112,43,81.9,22.2,90,0,2
JOWAI,MEGHALAYA,1359,36,97.3,33.9,97,0,2
LUNGLEI,MIZORAM,503,16,167.4,46.9,16,1,0
NONGPOH,MEGHALAYA,509,16,264.6,72.0,33,0,2
DIMAPUR,NAGALAND,132,14,192.6,50.2,25,0,1
TAWANG,ARUNACHAL PRADESH,1992,22,41.6,14.3,43,1,0
AGARTALA,TRIPURA,53,8,406.0,100.0,5,0,2
KOHIMA,NAGALAND,1052,18,137.2,34.6,22,1,0
TAWANG,ARUNACHAL PRADESH,1672,19,93.4,28.4,32,1,0
KOHIMA,NAGALAND,1416,32,262.9,65.1,96,0,2
HAFLONG,ASSAM,552,29,224.2,55.9,83,0,2
MANGAN,SIKKIM,1179,41,323.7,82.5,124,0,2
HAFLONG,ASSAM,494,30,104.0,34.0,79,0,2
AIZAWL,MIZORAM,675,18,43.0,14.7,26,1,0
GUWAHATI,ASSAM,89,4,368.4,100.0,24,0,2
TAWANG,ARUNACHAL PRADESH,2657,50,286.2,76.0,109,0,2
AGARTALA,TRIPURA,20,3,136.0,32.0,2,1,0
GANGTOK,SIKKIM,1221,15,204.6,61.6,38,1,1
DIMAPUR,NAGALAND,175,12,121.9,25.9,19,0,0
GANGTOK,SIKKIM,1649,41,332.1,95.9,128,0,2
IMPHAL,MANIPUR,570,9,73.1,22.2,9,1,0
AIZAWL,MIZORAM,1106,36,351.9,100.0,103,0,2
AGARTALA,TRIPURA,12,9,165.2,41.0,5,0,0
ITANAGAR,ARUNACHAL PRADESH,188,18,91.3,18.5,25,1,0
IMPHAL,MANIPUR,488,7,164.8,40.2,13,1,0
DIMAPUR,NAGALAND,107,3,181.4,53.8,6,1,0
MANGAN,SIKKIM,852,16,198.0,54.4,41,1,1
DIMAPUR,NAGALAND,90,3,54.8,11.7,8,1,0
JOWAI,MEGHALAYA,1373,41,327.3,97.2,80,0,2
TAWANG,ARUNACHAL PRADESH,2694,49,341.5,90.3,112,0,2
SILCHAR,ASSAM,22,3,179.5,47.7,14,1,0
NONEY,MANIPUR,341,15,105.5,21.5,17,1,0
NONEY,MANIPUR,665,32,134.1,38.3,84,0,2
JOWAI,MEGHALAYA,1014,12,81.7,18.9,31,1,0
NONEY,MANIPUR,626,38,202.8,55.8,95,0,2
AGARTALA,TRIPURA,-20,9,115.1,39.5,8,0,0
AIZAWL,MIZORAM,729,17,108.1,31.4,25,1,0
HAFLONG,ASSAM,304,15,103.5,34.6,21,1,0
ITANAGAR,ARUNACHAL PRADESH,230,13,119.2,28.8,39,1,0
TAWANG,ARUNACHAL PRADESH,1470,17,169.1,40.9,29,1,1
NONEY,MANIPUR,449,16,126.2,30.4,23,1,0
NONGPOH,MEGHALAYA,245,6,69.0,21.2,9,1,0
SILCHAR,ASSAM,2,4,393.6,100.0,46,0,2
GANGTOK,SIKKIM,1646,39,232.7,72.5,111,0,2
ITANAGAR,ARUNACHAL PRADESH,308,40,128.5,37.0,114,0,2
NONGPOH,MEGHALAYA,262,8,147.4,34.0,11,1,0
GANGTOK,SIKKIM,879,14,203.7,59.5,35,1,1
JOWAI,MEGHALAYA,1362,38,283.9,84.9,97,0,2
TAWANG,ARUNACHAL PRADESH,2631,47,124.3,36.2,121,0,2
GUWAHATI,ASSAM,34,3,135.4,33.3,2,1,0
ITANAGAR,ARUNACHAL PRADESH,188,19,190.7,54.2,40,1,1
MANGAN,SIKKIM,1192,48,159.1,49.9,134,0,2
LUNGLEI,MIZORAM,407,12,41.3,11.8,27,1,0
TAWANG,ARUNACHAL PRADESH,2668,50,313.8,84.2,106,0,2
DIMAPUR,NAGALAND,124,10,279.0,73.7,35,0,2
MANGAN,SIKKIM,783,24,76.7,22.1,33,1,0
ITANAGAR,ARUNACHAL PRADESH,327,42,244.5,75.7,112,0,2
DIMAPUR,NAGALAND,99,4,174.6,47.6,8,1,0
NONGPOH,MEGHALAYA,472,22,347.3,100.0,32,0,2
SILCHAR,ASSAM,44,10,353.5,100.0,38,0,2
ITANAGAR,ARUNACHAL PRADESH,167,15,149.6,45.1,28,1,0
GANGTOK,SIKKIM,1118,19,187.6,54.4,44,1,1
AGARTALA,TRIPURA,0,9,256.2,66.3,23,0,1
TAWANG,ARUNACHAL PRADESH,2698,42,92.3,21.5,121,0,2
GUWAHATI,ASSAM,26,5,215.8,62.7,26,0,1
GANGTOK,SIKKIM,1676,38,319.2,95.4,128,0,2
LUNGLEI,MIZORAM,423,18,213.4,58.6,19,1,1
GANGTOK,SIKKIM,1643,40,252.1,71.0,118,0,2
TAWANG,ARUNACHAL PRADESH,1556,16,86.4,24.6,33,1,0
AIZAWL,MIZORAM,839,17,176.3,56.4,32,1,1
AGARTALA,TRIPURA,20,3,86.4,22.1,2,1,0
NONEY,MANIPUR,640,36,255.6,63.2,81,0,2
AIZAWL,MIZORAM,1128,35,309.1,91.0,94,0,2
HAFLONG,ASSAM,532,31,154.3,44.0,73,0,2
NONGPOH,MEGHALAYA,508,17,330.0,97.6,27,0,2
IMPHAL,MANIPUR,771,17,201.0,60.3,51,0,2
SHILLONG,MEGHALAYA,1548,33,339.8,95.1,65,0,2
SILCHAR,ASSAM,20,3,198.6,56.4,18,1,0
AIZAWL,MIZORAM,617,19,111.6,35.0,27,1,0
JOWAI,MEGHALAYA,1407,37,399.5,100.0,93,0,2
DIMAPUR,NAGALAND,103,4,61.7,17.4,7,1,0
KOHIMA,NAGALAND,1405,40,209.0,51.7,78,0,2
DIMAPUR,NAGALAND,79,3,212.5,56.5,6,1,0
NONGPOH,MEGHALAYA,293,7,105.7,27.8,10,1,0
AGARTALA,TRIPURA,48,4,313.2,92.0,16,0,2
AIZAWL,MIZORAM,1163,40,146.7,45.6,94,0,2
JOWAI,MEGHALAYA,967,13,219.2,66.5,26,1,1
TAWANG,ARUNACHAL PRADESH,1852,18,142.2,37.9,34,1,1
NONGPOH,MEGHALAYA,472,18,365.3,95.0,35,0,2
KOHIMA,NAGALAND,852,15,86.4,16.3,31,1,0
SHILLONG,MEGHALAYA,1093,15,143.7,42.3,17,1,0
NONGPOH,MEGHALAYA,285,8,172.6,54.2,8,1,0
GANGTOK,SIKKIM,1016,22,155.3,50.0,42,1,1
MANGAN,SIKKIM,854,16,81.1,19.6,27,1,0
LUNGLEI,MIZORAM,470,15,180.6,57.2,29,1,1
TAWANG,ARUNACHAL PRADESH,1605,17,171.0,50.1,22,1,1
HAFLONG,ASSAM,493,32,112.5,38.2,65,0,2
ITANAGAR,ARUNACHAL PRADESH,283,40,340.1,87.8,111,0,2
AIZAWL,MIZORAM,1102,44,185.2,47.4,94,0,2
LUNGLEI,MIZORAM,474,13,45.1,15.1,28,1,0
KOHIMA,NAGALAND,890,17,138.7,32.7,31,1,0
NONGPOH,MEGHALAYA,319,8,134.2,39.5,9,1,0
LUNGLEI,MIZORAM,447,14,95.4,25.1,16,1,0
JOWAI,MEGHALAYA,693,15,64.5,14.5,30,1,0
GUWAHATI,ASSAM,40,3,117.5,29.3,2,1,0
NONEY,MANIPUR,670,35,220.0,62.1,76,0,2
GANGTOK,SIKKIM,1630,48,361.7,96.0,117,0,2
HAFLONG,ASSAM,336,13,150.4,44.9,25,1,0
AIZAWL,MIZORAM,749,17,73.8,13.6,23,1,0
JOWAI,MEGHALAYA,728,15,166.1,46.0,25,1,0
KOHIMA,NAGALAND,1423,30,87.5,31.9,89,0,2
LUNGLEI,MIZORAM,383,15,56.2,10.0,15,1,0
IMPHAL,MANIPUR,475,9,106.9,32.8,12,1,0
SILCHAR,ASSAM,20,3,88.0,22.7,11,1,0
ITANAGAR,ARUNACHAL PRADESH,304,38,361.6,94.4,107,0,2
NONEY,MANIPUR,443,14,46.0,12.2,27,1,0
SHILLONG,MEGHALAYA,1545,30,406.8,100.0,86,0,2
NONGPOH,MEGHALAYA,515,22,166.1,48.4,23,0,1
IMPHAL,MANIPUR,567,9,60.3,18.9,10,1,0
KOHIMA,NAGALAND,1425,34,120.7,38.2,90,0,2
GUWAHATI,ASSAM,89,8,282.7,76.5,24,0,2
HAFLONG,ASSAM,492,33,313.2,84.4,64,0,2
SILCHAR,ASSAM,40,10,318.5,93.1,42,0,2
JOWAI,MEGHALAYA,770,19,176.2,53.8,31,1,1
AGARTALA,TRIPURA,-23,5,326.3,86.7,9,0,1
SILCHAR,ASSAM,23,3,128.2,36.7,14,1,0
DIMAPUR,NAGALAND,99,3,204.6,57.7,9,1,0
HAFLONG,ASSAM,529,30,264.1,72.6,70,0,2
TAWANG,ARUNACHAL PRADESH,1817,23,105.5,31.2,35,1,1
KOHIMA,NAGALAND,1472,36,258.2,71.7,78,0,2
JOWAI,MEGHALAYA,801,16,134.2,30.3,19,1,0
JOWAI,MEGHALAYA,1344,34,245.0,61.6,81,0,2
GANGTOK,SIKKIM,1041,20,105.9,31.1,28,1,0
HAFLONG,ASSAM,498,36,395.7,100.0,77,0,2
AGARTALA,TRIPURA,21,7,399.0,100.0,21,0,2
DIMAPUR,NAGALAND,183,8,93.8,19.2,31,0,0
LUNGLEI,MIZORAM,709,40,114.4,27.5,71,0,2
GANGTOK,SIKKIM,1634,46,164.6,47.7,126,0,2
NONGPOH,MEGHALAYA,332,9,161.4,48.1,9,1,0
MANGAN,SIKKIM,1181,43,216.5,57.5,127,0,2
NONGPOH,MEGHALAYA,355,9,219.4,66.5,9,1,0
MANGAN,SIKKIM,847,18,138.2,36.4,29,1,0
AIZAWL,MIZORAM,838,16,170.7,55.1,25,1,1
GUWAHATI,ASSAM,53,4,414.7,100.0,11,0,2
KOHIMA,NAGALAND,1439,38,269.1,81.6,88,0,2
JOWAI,MEGHALAYA,1344,38,133.1,33.2,89,0,2
NONEY,MANIPUR,632,34,274.0,77.2,72,0,2
IMPHAL,MANIPUR,787,21,246.0,74.7,37,0,2
SHILLONG,MEGHALAYA,776,14,180.4,56.9,20,1,1
KOHIMA,NAGALAND,1039,14,61.7,21.5,31,1,0
GUWAHATI,ASSAM,28,3,141.7,36.6,3,1,0
NONEY,MANIPUR,606,40,419.1,100.0,93,0,2
TAWANG,ARUNACHAL PRADESH,2648,46,347.4,90.9,109,0,2
KOHIMA,NAGALAND,1464,39,96.8,25.3,95,0,2
HAFLONG,ASSAM,320,15,64.3,18.8,16,1,0
ITANAGAR,ARUNACHAL PRADESH,212,14,172.4,43.8,33,1,0
HAFLONG,ASSAM,355,12,56.1,18.3,27,1,0
MANGAN,SIKKIM,704,18,44.4,10.0,38,1,0
DIMAPUR,NAGALAND,95,3,82.0,25.7,9,1,0
JOWAI,MEGHALAYA,1354,31,402.6,100.0,85,0,2
LUNGLEI,MIZORAM,725,33,233.0,57.1,77,0,2
IMPHAL,MANIPUR,772,22,335.1,93.9,48,0,2
JOWAI,MEGHALAYA,1388,40,259.1,68.1,99,0,2
SILCHAR,ASSAM,20,3,123.7,41.5,12,1,0
HAFLONG,ASSAM,340,14,104.8,22.8,27,1,0
LUNGLEI,MIZORAM,402,15,57.9,13.1,30,1,0
HAFLONG,ASSAM,497,34,270.6,78.6,76,0,2
SILCHAR,ASSAM,62,4,246.6,72.4,48,0,1
GUWAHATI,ASSAM,36,3,219.3,68.6,3,1,0
AIZAWL,MIZORAM,1172,38,382.7,100.0,94,0,2
GUWAHATI,ASSAM,30,3,64.7,21.7,3,1,0
TAWANG,ARUNACHAL PRADESH,2673,43,131.9,44.2,118,0,2
KOHIMA,NAGALAND,917,13,137.4,43.0,18,1,0
JOWAI,MEGHALAYA,927,18,117.4,39.2,33,1,0
JOWAI,MEGHALAYA,1380,32,261.2,76.1,95,0,2
NONGPOH,MEGHALAYA,344,6,97.4,34.6,6,1,0
MANGAN,SIKKIM,732,24,208.0,54.2,45,1,1
IMPHAL,MANIPUR,762,16,339.2,96.0,32,0,2
AIZAWL,MIZORAM,1168,37,313.7,84.9,89,0,2
ITANAGAR,ARUNACHAL PRADESH,344,43,322.1,87.5,110,0,2
GANGTOK,SIKKIM,1020,16,113.5,39.0,28,1,0
AIZAWL,MIZORAM,628,18,76.8,16.2,22,1,0
AGARTALA,TRIPURA,20,3,117.0,36.9,3,1,0
GANGTOK,SIKKIM,987,22,136.5,40.2,36,1,1
SILCHAR,ASSAM,52,7,378.4,100.0,39,0,2
GANGTOK,SIKKIM,1681,44,340.2,100.0,121,0,2
IMPHAL,MANIPUR,479,9,91.5,20.1,14,1,0
LUNGLEI,MIZORAM,748,34,362.2,99.8,82,0,2
TAWANG,ARUNACHAL PRADESH,2643,49,265.8,72.1,122,0,2
KOHIMA,NAGALAND,730,14,201.2,62.0,31,1,1
HAFLONG,ASSAM,297,14,69.5,23.0,24,1,0
HAFLONG,ASSAM,529,36,109.0,33.6,73,0,2
TAWANG,ARUNACHAL PRADESH,2668,48,94.9,21.1,112,0,2
KOHIMA,NAGALAND,1424,32,341.5,87.7,77,0,2
LUNGLEI,MIZORAM,492,19,72.5,26.5,20,1,0
IMPHAL,MANIPUR,825,18,235.9,71.2,32,0,2
GUWAHATI,ASSAM,30,3,113.8,24.9,3,1,0
GUWAHATI,ASSAM,85,5,293.7,86.7,21,0,1
IMPHAL,MANIPUR,769,16,302.1,76.5,33,0,2
SILCHAR,ASSAM,20,3,218.9,55.4,10,1,0
LUNGLEI,MIZORAM,740,41,396.7,100.0,79,0,2
LUNGLEI,MIZORAM,427,15,116.9,33.3,16,1,0
LUNGLEI,MIZORAM,385,17,134.9,37.9,19,1,0
IMPHAL,MANIPUR,759,23,413.0,100.0,55,0,2
HAFLONG,ASSAM,348,14,167.2,45.3,25,1,0
KOHIMA,NAGALAND,911,18,63.3,18.6,22,1,0
TAWANG,ARUNACHAL PRADESH,1657,16,167.5,54.2,35,1,1
GUWAHATI,ASSAM,18,8,350.9,100.0,22,0,2
IMPHAL,MANIPUR,474,7,154.8,35.2,13,1,0
IMPHAL,MANIPUR,442,6,139.0,42.9,10,1,0
SHILLONG,MEGHALAYA,892,13,45.2,10.0,24,1,0
KOHIMA,NAGALAND,1054,15,46.4,10.0,24,1,0
JOWAI,MEGHALAYA,997,16,181.1,48.9,23,1,1
SILCHAR,ASSAM,22,3,43.4,13.3,14,1,0
KOHIMA,NAGALAND,745,12,101.0,26.1,30,1,0
NONGPOH,MEGHALAYA,265,6,95.5,32.3,10,1,0
SILCHAR,ASSAM,21,3,121.3,40.9,11,1,0
IMPHAL,MANIPUR,427,7,76.4,14.7,8,1,0
TAWANG,ARUNACHAL PRADESH,2681,48,144.7,47.0,104,0,2
TAWANG,ARUNACHAL PRADESH,1845,16,188.0,59.2,41,1,1
JOWAI,MEGHALAYA,1344,38,322.7,90.0,90,0,2
GUWAHATI,ASSAM,40,3,55.7,14.9,3,1,0
SILCHAR,ASSAM,61,10,186.2,53.0,61,0,1
LUNGLEI,MIZORAM,723,35,177.4,49.8,74,0,2
AGARTALA,TRIPURA,9,4,173.0,40.3,5,0,0
TAWANG,ARUNACHAL PRADESH,2646,48,266.8,70.4,111,0,2
LUNGLEI,MIZORAM,703,33,288.5,77.6,77,0,2
AGARTALA,TRIPURA,-9,4,387.1,100.0,13,0,2
GANGTOK,SIKKIM,1621,44,140.9,40.7,117,0,2
AGARTALA,TRIPURA,20,3,160.8,45.2,2,1,0
AGARTALA,TRIPURA,-14,6,234.9,68.2,5,0,1
AGARTALA,TRIPURA,20,3,151.0,48.6,2,1,0
GANGTOK,SIKKIM,1652,43,245.8,61.3,119,0,2
SHILLONG,MEGHALAYA,944,14,102.8,29.8,19,1,0
TAWANG,ARUNACHAL PRADESH,2671,41,269.1,67.9,110,0,2
LUNGLEI,MIZORAM,433,15,138.6,46.1,25,1,0
